Name,Value1,Value2
body,90.6,98.78
bottle,86.5,86.94
bottle_cap,81.41,99.23
box,62.55,93.78
cable,58.25,93.5
car,90.44,94.41
carpet,52.94,94.98
chair,89.75,94.33
cup,99.99,99.99
door_braces,99.99,96.67
fabric,46.37,51.46
key,98.0,96.08
mass,64.21,92.0
pedestal,76.51,96.26
pericarp,54.16,92.85
pet,95.91,99.29
phone,86.33,90.84
pot,88.72,99.99
potted_plant,84.72,98.62
purse,99.99,99.99
shelving,66.26,93.61
shoe,61.63,96.82
small_shrine,99.99,99.99
socket,77.57,99.99
spacer_bar,93.27,95.82
stair,99.99,99.99
straw,62.01,94.22
table,99.99,85.71
tie,58.17,95.47
trolley,90.48,99.99
vertical_billboard,88.82,96.48
waste_bin,64.49,87.74
