Name,Value1,Value2
body,99.99,99.99
bottle,0,0
bottle_cap,0,0
box,0,0
cable,99.99,99.99
car,76.92,99.99
carpet,77.77,99.99
chair,95.83,94.56
cup,0,0
door_braces,0,0
fabric,0,0
key,0,0
mass,0,0
pedestal,93.10,92.67
pericarp,0,0
pet,0,0
phone,0,0
pot,99.99,99.99
potted_plant,99.99,99.99
purse,0,0
shelving,0,0
shoe,99.99,99.99
small_shrine,0,0
socket,0,0
spacer_bar,99.99,99.99
stair,99.99,99.99
straw,0,0
table,99.99,85.71
tie,0,0
trolley,90.48,99.99
vertical_billboard,88.23,92.67
waste_bin,99.99,75.00
