"annotation_id","annotator","choice","created_at","id","image","lead_time","updated_at"
629568,"9","grass","2025-06-10T10:08:08.795599Z",1050671,"/data/upload/272/8f360328-crop_3788_color0_0_0_w71_h24.png",29.491,"2025-06-10T10:08:08.795615Z"
629569,"9","background","2025-06-10T10:08:12.329717Z",1050672,"/data/upload/272/a91c5da5-crop_2776_color100_100_100_w57_h22.png",2.439,"2025-06-10T10:08:12.329753Z"
629570,"9","background","2025-06-10T10:08:17.093510Z",1050673,"/data/upload/272/af170fb2-crop_1759_color0_0_0_w100_h35.png",3.642,"2025-06-10T10:08:17.093533Z"
629571,"9","not_sure","2025-06-10T10:08:37.311231Z",1050674,"/data/upload/272/c18422e9-crop_0929_color0_0_0_w80_h12.png",7.411,"2025-06-10T10:08:37.311245Z"
629572,"9","not_sure","2025-06-10T10:08:41.255047Z",1050675,"/data/upload/272/258ab19c-crop_3873_color0_0_0_w23_h31.png",3.757,"2025-06-10T10:08:41.255062Z"
629573,"9","soil","2025-06-10T10:08:46.037568Z",1050676,"/data/upload/272/373fc301-crop_2126_color100_100_100_w77_h44.png",4.33,"2025-06-10T10:08:46.037582Z"
629574,"9","grass","2025-06-10T10:08:50.516511Z",1050677,"/data/upload/272/3b3143ef-crop_1389_color0_0_0_w66_h75.png",4.066,"2025-06-10T10:08:50.516526Z"
629575,"9","soil","2025-06-10T10:08:54.623766Z",1050678,"/data/upload/272/beb0c5fa-crop_3676_color100_100_100_w49_h44.png",3.776,"2025-06-10T10:08:54.623780Z"
629576,"9","not_sure","2025-06-10T10:08:56.942321Z",1050679,"/data/upload/272/b482cc11-crop_1395_color100_100_100_w35_h21.png",2.136,"2025-06-10T10:08:56.942336Z"
629577,"9","not_sure","2025-06-10T10:08:59.808857Z",1050680,"/data/upload/272/10643280-crop_0123_color0_0_0_w54_h22.png",2.594,"2025-06-10T10:08:59.808880Z"
629583,"9","obstacle","2025-06-10T12:11:06.741319Z",1050681,"/data/upload/272/52006e7b-crop_0853_color0_0_0_w59_h41.png",2.704,"2025-06-10T12:11:06.741341Z"
629584,"9","leaf","2025-06-10T12:11:13.155044Z",1050682,"/data/upload/272/52267b31-crop_1689_color0_0_0_w37_h28.png",4.272,"2025-06-10T12:11:13.155064Z"
629585,"9","leaf","2025-06-10T12:11:15.861047Z",1050683,"/data/upload/272/2c375d8c-crop_0120_color0_0_0_w59_h19.png",1.477,"2025-06-10T12:11:15.861061Z"
629586,"9","soil","2025-06-10T12:11:18.896214Z",1050684,"/data/upload/272/8f96919a-crop_2838_color100_100_100_w76_h48.png",2.205,"2025-06-10T12:11:18.896230Z"
629587,"9","soil","2025-06-10T12:11:22.415979Z",1050685,"/data/upload/272/c62d9206-crop_3572_color100_100_100_w96_h32.png",2.392,"2025-06-10T12:11:22.415993Z"
629588,"9","leaf","2025-06-10T12:11:25.043739Z",1050686,"/data/upload/272/afe1c305-crop_2783_color0_0_0_w87_h33.png",1.74,"2025-06-10T12:11:25.043756Z"
629589,"9","leaf","2025-06-10T12:11:31.592737Z",1050687,"/data/upload/272/4deea1a5-crop_3285_color0_0_0_w160_h35.png",5.532,"2025-06-10T12:11:31.592755Z"
629590,"9","not_sure","2025-06-10T12:11:34.856761Z",1050688,"/data/upload/272/e42f133c-crop_2214_color0_0_0_w41_h19.png",1.755,"2025-06-10T12:11:34.856778Z"
629591,"9","grass","2025-06-10T12:11:37.500484Z",1050689,"/data/upload/272/f48d5388-crop_3156_color0_0_0_w44_h47.png",1.447,"2025-06-10T12:11:37.500501Z"
629592,"9","background","2025-06-10T12:11:40.670821Z",1050690,"/data/upload/272/d10bf12f-crop_1391_color0_0_0_w24_h42.png",1.837,"2025-06-10T12:11:40.670836Z"
629593,"9","soil","2025-06-10T12:11:47.060687Z",1050691,"/data/upload/272/378589ad-crop_3472_color100_100_100_w159_h135.png",3.883,"2025-06-10T12:11:47.060710Z"
629594,"9","grass","2025-06-10T12:11:49.858289Z",1050692,"/data/upload/272/e6fa9b1e-crop_2918_color0_0_0_w34_h48.png",1.656,"2025-06-10T12:11:49.858310Z"
629595,"9","leaf","2025-06-10T12:11:52.273514Z",1050693,"/data/upload/272/48125172-crop_0101_color0_0_0_w95_h81.png",1.561,"2025-06-10T12:11:52.273530Z"
629596,"9","not_sure","2025-06-10T12:11:54.966602Z",1050694,"/data/upload/272/2964e5d8-crop_0636_color100_100_100_w38_h33.png",1.761,"2025-06-10T12:11:54.966617Z"
629597,"9","leaf","2025-06-10T12:12:00.983452Z",1050695,"/data/upload/272/210e7e2f-crop_3776_color0_0_0_w47_h40.png",4.621,"2025-06-10T12:12:00.983469Z"
629598,"9","leaf","2025-06-10T12:12:03.928034Z",1050696,"/data/upload/272/074e7418-crop_3904_color100_100_100_w46_h28.png",1.928,"2025-06-10T12:12:03.928053Z"
629599,"9","soil","2025-06-10T12:12:08.231434Z",1050697,"/data/upload/272/be08a0a4-crop_2373_color0_0_0_w116_h61.png",3.386,"2025-06-10T12:12:08.231451Z"
629600,"9","soil","2025-06-10T12:12:11.139312Z",1050698,"/data/upload/272/328adf54-crop_2544_color100_100_100_w49_h61.png",1.972,"2025-06-10T12:12:11.139326Z"
629601,"9","leaf","2025-06-10T12:12:18.062001Z",1050699,"/data/upload/272/f3c27895-crop_3545_color100_100_100_w40_h35.png",3.522,"2025-06-10T12:12:18.062015Z"
629602,"9","not_sure","2025-06-10T12:12:22.102961Z",1050700,"/data/upload/272/26385b11-crop_1871_color0_0_0_w142_h44.png",3.154,"2025-06-10T12:12:22.102981Z"
629603,"9","not_sure","2025-06-10T12:12:24.683753Z",1050701,"/data/upload/272/cad471fb-crop_3606_color100_100_100_w38_h26.png",1.528,"2025-06-10T12:12:24.683776Z"
629604,"9","leaf","2025-06-10T12:12:28.684075Z",1050702,"/data/upload/272/a53e0aa7-crop_4064_color100_100_100_w88_h20.png",3.128,"2025-06-10T12:12:28.684090Z"
629605,"9","not_sure","2025-06-10T12:13:48.698639Z",1050703,"/data/upload/272/53385377-crop_0337_color100_100_100_w42_h25.png",1.776,"2025-06-10T12:13:48.698653Z"
629606,"9","obstacle","2025-06-10T12:13:57.011735Z",1050704,"/data/upload/272/a980bc74-crop_3814_color0_0_0_w84_h18.png",6.738,"2025-06-10T12:13:57.011751Z"
629607,"9","obstacle","2025-06-10T12:13:59.306643Z",1050705,"/data/upload/272/a76ea47e-crop_0222_color0_0_0_w49_h38.png",1.306,"2025-06-10T12:13:59.306659Z"
629608,"9","obstacle","2025-06-10T12:14:01.453684Z",1050706,"/data/upload/272/120aabeb-crop_0593_color0_0_0_w74_h48.png",1.238,"2025-06-10T12:14:01.453700Z"
629609,"9","not_sure","2025-06-10T12:14:03.997602Z",1050707,"/data/upload/272/5f81623d-crop_0894_color0_0_0_w38_h27.png",1.263,"2025-06-10T12:14:03.997621Z"
629610,"9","not_sure","2025-06-10T12:14:06.188649Z",1050708,"/data/upload/272/900e6fdd-crop_2943_color0_0_0_w39_h44.png",1.381,"2025-06-10T12:14:06.188662Z"
629611,"9","leaf","2025-06-10T12:14:08.773076Z",1050709,"/data/upload/272/dd77b7b9-crop_1815_color0_0_0_w38_h35.png",1.619,"2025-06-10T12:14:08.773103Z"
629612,"9","not_sure","2025-06-10T12:14:11.744686Z",1050710,"/data/upload/272/b05f23fb-crop_0001_color100_100_100_w43_h26.png",1.437,"2025-06-10T12:14:11.744701Z"
629613,"9","not_sure","2025-06-10T12:14:14.482023Z",1050711,"/data/upload/272/12b21366-crop_2650_color0_0_0_w33_h24.png",1.748,"2025-06-10T12:14:14.482039Z"
629614,"9","not_sure","2025-06-10T12:14:21.873862Z",1050712,"/data/upload/272/acb8455b-crop_0573_color100_100_100_w37_h25.png",2.047,"2025-06-10T12:14:21.873875Z"
629615,"9","background","2025-06-10T12:14:30.592649Z",1050713,"/data/upload/272/c598a0aa-crop_3017_color0_0_0_w142_h54.png",8.5,"2025-06-10T12:14:30.592662Z"
629616,"9","grass","2025-06-10T12:14:32.238881Z",1050714,"/data/upload/272/0e2c459f-crop_0245_color0_0_0_w42_h48.png",1.332,"2025-06-10T12:14:32.238895Z"
629617,"9","not_sure","2025-06-10T12:14:33.782748Z",1050715,"/data/upload/272/cd2faf56-crop_0439_color100_100_100_w25_h39.png",1.246,"2025-06-10T12:14:33.782767Z"
629618,"9","not_sure","2025-06-10T12:14:34.946522Z",1050716,"/data/upload/272/e8a0931c-crop_1665_color0_0_0_w47_h29.png",0.866,"2025-06-10T12:14:34.946535Z"
629619,"9","not_sure","2025-06-10T12:14:36.172968Z",1050717,"/data/upload/272/d5ecd714-crop_1470_color100_100_100_w54_h36.png",0.978,"2025-06-10T12:14:36.172984Z"
629620,"9","not_sure","2025-06-10T12:14:37.218831Z",1050718,"/data/upload/272/055aca74-crop_0689_color0_0_0_w53_h17.png",0.798,"2025-06-10T12:14:37.218854Z"
629621,"9","grass","2025-06-10T12:14:38.832850Z",1050719,"/data/upload/272/3ec7ffd3-crop_2434_color0_0_0_w125_h12.png",1.363,"2025-06-10T12:14:38.832872Z"
629622,"9","grass","2025-06-10T12:14:43.629671Z",1050720,"/data/upload/272/5a606d63-crop_1397_color100_100_100_w18_h47.png",4.54,"2025-06-10T12:14:43.629685Z"
629623,"9","obstacle","2025-06-10T12:14:55.584384Z",1050721,"/data/upload/272/0ad1830d-crop_1940_color0_0_0_w24_h46.png",11.782,"2025-06-10T12:14:55.584405Z"
